,gene_name
1520,GPR161
1521,TIPRL
1522,SFT2D2
1523,TBX19
1524,XCL2
1525,XCL1
1526,DPT
1527,ATP1B1
1528,NME7
1529,BLZF1
1530,CCDC181
1531,SLC19A2
1532,F5
1533,SELP
1534,C1orf112
1535,SELL
1536,SELE
1537,METTL18
1538,SCYL3
1539,KIFAP3
1540,METTL11B
1541,GORAB
1542,PRRX1
1543,MROH9
1544,FMO3
1545,FMO2
1546,FMO1
1547,FMO4
1548,PRRC2C
1549,MYOCOS
1550,MYOC
1551,VAMP4
1552,EEF1AKNMT
1553,DNM3
1554,PIGC
1555,C1orf105
1556,SUCO
1557,FASLG
1558,TNFSF18
1559,TNFSF4
1560,PRDX6
1561,SLC9C2
1562,AL139142.2
1563,ANKRD45
1564,TEX50
1565,KLHL20
1566,CENPL
1567,DARS2
1568,ZBTB37
1569,SERPINC1
1570,RC3H1
1571,RABGAP1L
1572,GPR52
1573,CACYBP
1574,MRPS14
1575,TNN
1576,KIAA0040
1577,TNR
1578,COP1
1579,PAPPA2
1580,ASTN1
1581,BRINP2
1582,SEC16B
1583,RASAL2
1584,CLEC20A
1585,TEX35
1586,RALGPS2
1587,ANGPTL1
1588,FAM20B
1589,TOR3A
1590,ABL2
1591,SOAT1
1592,AXDND1
1593,NPHS2
1594,TDRD5
1595,FAM163A
1596,TOR1AIP2
1597,TOR1AIP1
1598,CEP350
1599,QSOX1
1600,LHX4
1601,ACBD6
1602,XPR1
1603,KIAA1614
1604,STX6
1605,MR1
1606,IER5
1607,CACNA1E
1608,ZNF648
1609,GLUL
1610,TEDDM1
1611,RGSL1
1612,RNASEL
1613,RGS16
1614,RGS8
1615,NPL
1616,DHX9
1617,SHCBP1L
1618,LAMC1
1619,LAMC2
1620,NMNAT2
1621,SMG7
1622,NCF2
1623,ARPC5
1624,RGL1
1625,APOBEC4
1626,COLGALT2
1627,TSEN15
1628,C1orf21
1629,EDEM3
1630,NIBAN1
1631,RNF2
1632,TRMT1L
1633,SWT1
1634,IVNS1ABP
1635,HMCN1
1636,PRG4
1637,TPR
1638,ODR4
1639,PDC
1640,PTGS2
1641,PLA2G4A
1642,BRINP3
1643,RGS18
1644,RGS21
1645,RGS1
1646,RGS13
1647,RPS27AP5
1648,RGS2
1649,UCHL5
1650,RO60
1651,GLRX2
1652,CDC73
1653,B3GALT2
1654,KCNT2
1655,CFH
1656,CFHR3
1657,CFHR1
1658,CFHR4
1659,CFHR2
