"","gene_name"
"811","Prg4"
"812","Hmcn1"
"813","Gm47985"
"814","Gm8947"
"815","Gm47995"
"816","3110040M04Rik"
"817","Gm47996"
"818","Ivns1abp"
"819","Swt1"
"820","Trmt1l"
"821","Rnf2"
"822","Fam129a"
"823","Edem3"
"824","1700025G04Rik"
"825","Tsen15"
"826","Colgalt2"
"827","Rgl1"
"828","Apobec4"
"829","Arpc5"
"830","Ncf2"
"831","Smg7"
"832","Nmnat2"
"833","Lamc2"
"834","Lamc1"
"835","Shcbp1l"
"836","Dhx9"
"837","Npl"
"838","Rgs8"
"839","Rgs16"
"840","Rnasel"
"841","Rgsl1"
"842","Teddm2"
"843","Teddm1b"
"844","Teddm1a"
"845","Glul"
"846","Zfp648"
"847","Cacna1e"
"848","Ier5"
"849","Mr1"
"850","Stx6"
"851","BC034090"
"852","Xpr1"
"853","Acbd6"
"854","Lhx4"
"855","Qsox1"
"856","Cep350"
"857","Tor1aip1"
"858","Tor1aip2"
"859","Fam163a"
"860","Tdrd5"
"861","Nphs2"
"862","Axdnd1"
"863","Gm2000"
"864","Soat1"
"865","Abl2"
"866","Tor3a"
"867","Fam20b"
"868","Ralgps2"
"869","Angptl1"
"870","Tex35"
"871","Rasal2"
"872","Cryzl2"
"873","Sec16b"
"874","Brinp2"
"875","Astn1"
"876","Pappa2"
"877","Cop1"
"878","Tnr"
"879","4930523C07Rik"
"880","Tnn"
"881","Mrps14"
"882","Cacybp"
"883","Rabgap1l"
"884","Gpr52"
"885","Rc3h1"
"886","Serpinc1"
"887","Zbtb37"
"888","Dars2"
"889","Cenpl"
"890","Klhl20"
"891","Ankrd45"
"892","Tex50"
"893","Prdx6"
"894","Tnfsf4"
"895","Tnfsf18"
"896","Fasl"
"897","Suco"
"898","4930558K02Rik"
"899","Pigc"
"900","Dnm3"
"901","Eef1aknmt"
"902","Vamp4"
"903","Myoc"
"904","Myocos"
"905","Prrc2c"
"906","Fmo4"
"907","Fmo1"
"908","Fmo2"
"909","Fmo6"
"910","Fmo3"
"911","Mroh9"
"912","Prrx1"
"913","Gorab"
"914","Mettl11b"
"915","Kifap3"
"916","Scyl3"
"917","BC055324"
"918","Mettl18"
"919","Sele"
"920","Sell"
"921","Selp"
"922","F5"
"923","Slc19a2"
"924","Ccdc181"
"925","Blzf1"
"926","Nme7"
"927","Atp1b1"
"928","Dpt"
"929","Xcl1"
"930","Tbx19"
"931","Sft2d2"
"932","Tiprl"
"933","Gpr161"
"934","Dcaf6"
"935","Mpc2"
"936","Adcy10"
"937","Mpzl1"
"938","Rcsd1"
"939","Creg1"
"940","Cd247"
"941","Pou2f1"
"942","Dusp27"
"943","Gpa33"
"944","Mael"
"945","Ildr2"
"946","Tada1"
"947","Pogk"
"948","Gm4846"
"949","Gm4847"
"950","Fmo9"
"951","Fam78b"
"952","Uck2"
"953","Tmco1"
"954","Aldh9a1"
"955","Mgst3"
"956","Lrrc52"
"957","Rxrg"
"958","Lmx1a"
"959","Pbx1"
"960","Nuf2"
"961","Rgs5"
"962","Rgs4"
"963","Ccdc190"
"964","Hsd17b7"
"965","Ddr2"
"966","Uap1"
"967","Uhmk1"
"968","Sh2d1b2"
"969","Sh2d1b1"
"970","Gm7694"
"971","Nos1ap"
"972","Spata46"
